"","location_name","data_date","submitted_date","Province","District","malaria_rdt_0-4","malaria_rdt_5-14","malaria_rdt_15","malaria_tot","newid"
"1","Facility 1",2020-08-11,2020-08-12,"North","Spring",11,12,23,46,1
"2","Facility 2",2020-08-11,2020-08-12,"North","Bolo",11,10,5,26,2
"3","Facility 3",2020-08-11,2020-08-12,"North","Dingo",8,5,5,18,3
"4","Facility 4",2020-08-11,2020-08-12,"North","Bolo",16,16,17,49,4
"5","Facility 5",2020-08-11,2020-08-12,"North","Bolo",9,2,6,17,5
"6","Facility 6",2020-08-11,2020-08-12,"North","Dingo",3,1,4,8,6
"7","Facility 6",2020-08-10,2020-08-12,"North","Dingo",4,0,3,7,6
"8","Facility 5",2020-08-10,2020-08-12,"North","Bolo",15,14,13,42,5
"9","Facility 5",2020-08-09,2020-08-12,"North","Bolo",11,11,13,35,5
"10","Facility 5",2020-08-08,2020-08-12,"North","Bolo",19,15,15,49,5
"11","Facility 7",2020-08-11,2020-08-12,"North","Spring",12,7,13,32,7
"12","Facility 8",2020-08-11,2020-08-12,"North","Bolo",7,1,20,28,8
"13","Facility 9",2020-08-11,2020-08-12,"North","Spring",27,8,18,53,9
"14","Facility 10",2020-08-11,2020-08-12,"North","Bolo",0,10,24,34,10
"15","Facility 11",2020-08-11,2020-08-12,"North","Spring",17,15,28,60,11
"16","Facility 12",2020-08-11,2020-08-12,"North","Dingo",36,36,62,134,12
"17","Facility 13",2020-08-11,2020-08-12,"North","Bolo",0,0,0,0,13
"18","Facility 14",2020-08-11,2020-08-12,"North","Dingo",5,1,10,16,14
"19","Facility 15",2020-08-11,2020-08-12,"North","Barnard",6,3,2,11,15
"20","Facility 16",2020-08-11,2020-08-12,"North","Barnard",9,9,16,34,16
"21","Facility 17",2020-08-11,2020-08-12,"North","Barnard",4,4,1,9,17
"22","Facility 18",2020-08-11,2020-08-12,"North","Bolo",7,0,6,13,18
"23","Facility 19",2020-08-11,2020-08-12,"North","Bolo",12,2,18,32,19
"24","Facility 19",2020-08-10,2020-08-12,"North","Bolo",4,7,41,52,19
"25","Facility 20",2020-08-11,2020-08-12,"North","Barnard",14,9,14,37,20
"26","Facility 21",2020-08-11,2020-08-12,"North","Bolo",28,18,5,51,21
"27","Facility 19",2020-08-09,2020-08-12,"North","Bolo",5,3,24,32,19
"28","Facility 22",2020-08-11,2020-08-12,"North","Bolo",11,4,13,28,22
"29","Facility 23",2020-08-11,2020-08-12,"North","Dingo",8,7,16,31,23
"30","Facility 23",2020-08-12,2020-08-12,"North","Dingo",8,7,16,31,23
"31","Facility 24",2020-08-11,2020-08-12,"North","Bolo",21,0,41,62,24
"32","Facility 25",2020-08-11,2020-08-12,"North","Bolo",7,3,13,23,25
"33","Facility 26",2020-08-11,2020-08-12,"North","Bolo",3,2,5,10,26
"34","Facility 27",2020-08-11,2020-08-12,"North","Spring",7,4,11,22,27
"35","Facility 28",2020-08-11,2020-08-12,"North","Spring",9,7,33,49,28
"36","Facility 29",2020-08-11,2020-08-11,"North","Dingo",19,4,23,46,29
"37","Facility 30",2020-08-06,2020-08-08,"North","Bolo",28,14,54,96,30
"38","Facility 30",2020-08-04,2020-08-05,"North","Bolo",9,8,10,27,30
"39","Facility 31",2020-08-11,2020-08-11,"North","Dingo",11,2,11,24,31
"40","Facility 31",2020-08-10,2020-08-11,"North","Dingo",7,10,16,33,31
"41","Facility 32",2020-08-11,2020-08-11,"North","Spring",26,35,30,91,32
"42","Facility 33",2020-08-11,2020-08-11,"North","Barnard",0,2,8,10,33
"43","Facility 33",2020-08-10,2020-08-11,"North","Barnard",4,4,2,10,33
"44","Facility 7",2020-08-10,2020-08-11,"North","Spring",8,9,11,28,7
"45","Facility 30",2020-08-07,2020-08-08,"North","Bolo",5,9,29,43,30
"46","Facility 30",2020-08-09,2020-08-09,"North","Bolo",25,14,31,70,30
"47","Facility 30",2020-08-10,2020-08-10,"North","Bolo",21,25,38,84,30
"48","Facility 30",2020-08-11,2020-08-11,"North","Bolo",9,20,26,55,30
"49","Facility 34",2020-08-11,2020-08-11,"North","Dingo",4,9,17,30,34
"50","Facility 35",2020-08-10,2020-08-11,"North","Spring",81,56,96,233,35
"51","Facility 35",2020-08-09,2020-08-11,"North","Spring",96,50,83,229,35
"52","Facility 1",2020-08-10,2020-08-11,"North","Spring",11,4,5,20,1
"53","Facility 1",2020-08-09,2020-08-11,"North","Spring",18,4,84,106,1
"54","Facility 36",2020-08-11,2020-08-11,"North","Dingo",0,0,0,0,36
"55","Facility 37",2020-08-10,2020-08-11,"North","Bolo",33,26,53,112,37
"56","Facility 37",2020-08-09,2020-08-11,"North","Bolo",5,1,31,37,37
"57","Facility 21",2020-08-10,2020-08-11,"North","Bolo",18,13,1,32,21
"58","Facility 38",2020-08-10,2020-08-11,"North","Bolo",7,3,8,18,38
"59","Facility 38",2020-08-09,2020-08-11,"North","Bolo",8,5,6,19,38
"60","Facility 15",2020-08-10,2020-08-11,"North","Barnard",11,7,5,23,15
"61","Facility 10",2020-08-10,2020-08-11,"North","Bolo",0,18,23,41,10
"62","Facility 39",2020-08-04,2020-08-11,"North","Spring",4,6,12,22,39
"63","Facility 39",2020-08-03,2020-08-11,"North","Spring",10,18,15,43,39
"64","Facility 9",2020-08-10,2020-08-11,"North","Spring",12,9,13,34,9
"65","Facility 26",2020-08-10,2020-08-11,"North","Bolo",7,9,8,24,26
"66","Facility 3",2020-08-10,2020-08-11,"North","Dingo",6,2,5,13,3
"67","Facility 40",2020-08-10,2020-08-11,"North","Barnard",5,2,5,12,40
"68","Facility 13",2020-08-10,2020-08-11,"North","Bolo",0,0,0,0,13
"69","Facility 11",2020-08-10,2020-08-11,"North","Spring",27,31,25,83,11
